stage,model,setting,split,accuracy,consensus_accuracy,f1,bleu,meteor,rouge_l,judge
Best screening,Qwen2.5-VL-3B,short answer,internal-dev,0.8105,0.772,0.7024398695748696,0.1348251359799006,0.512599662308003,0.7238372194472195,0.9095
Best screening,LLaVA-Phi-3-mini,short answer,internal-dev,0.507,0.4693333333333333,0.45744130702630703,0.07285057011636184,0.36235481276573356,0.480303011988012,0.71575
Best screening,BLIP-2 OPT-2.7B,plain,internal-dev,0.2625,0.235,0.23622557953484424,0.025763324167833168,0.25131331854601097,0.24831624442550912,0.591
Best screening,InternVL2.5-4B,ocr copy first,internal-dev,0.0905,0.08783333333333333,0.1183500222000222,0.001415062297123999,0.08257617484732246,0.1976896325896326,0.55525
Best screening,OCR lexical,ocr injected,internal-dev,0.0315,0.028333333333333332,0.10447756132756132,0.005942628646220912,0.11000825823060105,0.11431486291486291,0.36975
Finalist,Qwen2.5-VL-3B,short answer,validation,0.7872,0.7444666666666666,0.7041951014671602,0.14877567902433997,0.4808089268418658,0.7345018237971179,0.8909
Finalist,Qwen2.5-VL-3B,plain,validation,0.7718,0.7291333333333333,0.6947154716198833,0.14644621628875754,0.4780677095742148,0.7277651632028103,0.8769
Finalist,Qwen2.5-VL-3B,ocr fused,validation,0.7556,0.7093333333333334,0.6736892278636396,0.1414033308124533,0.46884434244812956,0.7084169773363891,0.8587
Finalist,Qwen2.5-VL-3B,ocr injected,validation,0.7442,0.6998666666666666,0.666904667358785,0.13919244260053024,0.45933317587197947,0.70260354237266,0.8546
Finalist,LLaVA-Phi-3-mini,ocr injected normalized,validation,0.5036,0.4698,0.48723298730681086,0.0726368414142263,0.3548783681638062,0.523367181478652,0.7377
Finalist,LLaVA-Phi-3-mini,short answer,validation,0.467,0.4342,0.45081832089479146,0.07680524843639486,0.3305802414666282,0.4798901018915725,0.7219
Finalist,LLaVA-Phi-3-mini,ocr injected,validation,0.4068,0.37653333333333333,0.41660748382336615,0.05131434303932824,0.32257736265799963,0.4680194744471215,0.694
Finalist,LLaVA-Phi-3-mini,ocr copy first,validation,0.3686,0.3442,0.4180682513564867,0.07067617189026502,0.329684733292466,0.4467281681064034,0.6811
Tuned winner,Qwen2.5-VL-3B + LoRA,all-linear r16 seed13,validation,0.8476,0.8039333333333333,0.7492220157345235,0.14256864856005616,0.506592132309026,0.7755684165834166,0.9124
