group,configuration,eval_loss,accuracy,consensus_accuracy,f1,bleu,meteor,rouge_l,judge
Core matrix,All-linear r16 (seed 13),0.5758634805679321,0.8845,0.8503333333333334,0.7671523104020163,0.14690808309350667,0.550509568595401,0.7833626639373699,0.92225
Data scaling,Data scaling: full,0.5575652718544006,0.879,0.848,0.767069901144607,0.14763312331193545,0.5425135383236785,0.7821713330460389,0.93825
Core matrix,All-linear r32 (seed 07),0.565412700176239,0.877,0.8391666666666666,0.7596345198592257,0.14307610140444027,0.5477131890109241,0.7744369368866427,0.93175
Core matrix,Attention-only r16 (seed 07),0.5787182450294495,0.8765,0.8405,0.7647788921535981,0.15187144066238906,0.5492264711403004,0.7792638488635547,0.9205
OCR ablation,OCR ablation: off,0.5714858770370483,0.8765,0.8413333333333334,0.7610243466990526,0.1490103437705331,0.5519472698427849,0.7763648589645649,0.9335
Core matrix,Attention-only r16 (seed 13),0.5768582820892334,0.876,0.8438333333333333,0.7649183943181002,0.1523241507008362,0.546118172541267,0.7804037478534538,0.9245
Data scaling,Data scaling: 25 pct,0.5723592042922974,0.876,0.8401666666666666,0.7598438993686053,0.14241489793808454,0.5470753693781606,0.7757359989357048,0.92425
Core matrix,All-linear r32 (seed 13),0.5833019614219666,0.8755,0.8441666666666666,0.7621649727396786,0.14332411680469023,0.5405840610529062,0.7772753262750322,0.92475
Core matrix,Attention-only r32 (seed 13),0.5739109516143799,0.8755,0.8426666666666667,0.7672485530482589,0.14924546864102237,0.5459805199443931,0.7827850970598029,0.92875
OCR ablation,OCR ablation: on,0.5672447681427002,0.8755,0.8425,0.7577473986471045,0.15251821218703804,0.5484535289040005,0.7744174202921261,0.927
Core matrix,All-linear r16 (seed 07),0.5803031921386719,0.8745,0.842,0.762295839095545,0.14181106279768121,0.547110681900902,0.7786669679666739,0.9325
Core matrix,Attention-only r32 (seed 07),0.5798385143280029,0.873,0.8365,0.7617054433801492,0.14876658514851568,0.5472057972760738,0.7769725429472488,0.936
